                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.64706,                 2.8699,                 1.1915,                0.20833,                0.66667,                0.44222,                0.37589,                0.79976,                 4.8817,                 1.3026,              0.0001831,              0.0001831,              0.0001831
                     36,                0.67332,                 2.9484,                 1.3102,                0.20833,                0.66667,                0.44222,                0.40906,                0.81131,                 4.9036,                 1.3505,             0.00018559,             0.00018559,             0.00018559
                     37,                0.58391,                 2.6003,                 1.1298,                0.20833,                0.66667,                0.44222,                0.40906,                0.81131,                 4.9036,                 1.3505,             0.00018793,             0.00018793,             0.00018793
                     38,                0.68607,                 2.6226,                 1.3485,                0.21429,                0.66667,                0.41458,                0.38142,                0.92534,                 4.9119,                 1.4713,             0.00019011,             0.00019011,             0.00019011
                     39,                   0.54,                  2.444,                 1.0695,                0.21429,                0.66667,                0.44222,                0.38694,                  1.001,                 4.9781,                 1.5634,             0.00019213,             0.00019213,             0.00019213
                     40,                0.53927,                  2.565,                 1.1757,                0.21429,                0.66667,                0.44222,                0.38694,                  1.001,                 4.9781,                 1.5634,             0.00019399,             0.00019399,             0.00019399
                     41,                0.61725,                  2.453,                  1.102,                0.21429,                0.66667,                0.44222,                0.35378,                 1.0525,                 4.9367,                 1.5801,              0.0001957,              0.0001957,              0.0001957
                     42,                0.68958,                 2.5274,                  1.268,                0.21429,                0.66667,                0.44222,                0.35378,                0.99902,                 4.9635,                 1.5205,             0.00019724,             0.00019724,             0.00019724
                     43,                 0.7003,                 2.8385,                 1.3678,                0.21429,                0.66667,                0.44222,                0.35378,                0.99902,                 4.9635,                 1.5205,             0.00019863,             0.00019863,             0.00019863
                     44,                0.60978,                 2.2776,                 1.1558,                0.86692,                0.33333,                0.44222,                0.36483,                0.92566,                 4.9213,                 1.5041,             0.00019986,             0.00019986,             0.00019986
                     45,                0.78583,                 2.3833,                 1.2882,                0.86692,                0.33333,                0.44222,                0.36483,                0.92566,                 4.9213,                 1.5041,             0.00020093,             0.00020093,             0.00020093
                     46,                0.63824,                 2.2959,                 1.1081,                0.92791,                0.33333,                 0.4975,                0.44775,                0.84827,                 4.8224,                 1.4938,             0.00020184,             0.00020184,             0.00020184
                     47,                0.66475,                 2.3718,                 1.1774,                0.92791,                0.33333,                 0.4975,                0.44775,                0.84827,                 4.8224,                 1.4938,             0.00020259,             0.00020259,             0.00020259
                     48,                0.47034,                 2.1185,                 1.1321,                0.95222,                0.33333,                 0.4975,                0.44775,                0.84199,                 4.9026,                 1.5238,             0.00020319,             0.00020319,             0.00020319
